US House,RDH Tab,SOS Tot,Diff,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GENERAL,,,,,,,,,,,,,,,,,,,,,
GCON01DOHA,188469,188469,0,,,,,,,,,,,,,,,,,,
GCON01RSHE,176709,176709,0,,,,,,,,,,,,,,,,,,
GCON02DKIR,209945,209945,0,,,,,,,,,,,,,,,,,,
GCON02RMAR,170975,170975,0,,,,,,,,,,,,,,,,,,
GCON03DGRI,174243,174243,0,,,,,,,,,,,,,,,,,,
GCON03RWOO,95594,95594,0,,,,,,,,,,,,,,,,,,
GCON04DDIS,120484,120484,0,,,,,,,,,,,,,,,,,,
GCON04OWRI,0,,0,,,,,,,,,,,,,,,,,,
GCON04RGOS,278002,278002,0,,,,,,,,,,,,,,,,,,
GCON05DGRE,183171,183171,0,,,,,,,,,,,,,,,,,,
GCON05RBIG,262414,262414,0,,,,,,,,,,,,,,,,,,
GCON06DTIP,199644,199644,0,,,,,,,,,,,,,,,,,,
GCON06RSCH,217783,217783,0,,,,,,,,,,,,,,,,,,
GCON07DGAL,165452,165452,0,,,,,,,,,,,,,,,,,,
GCON07OWRI,0,,0,,,,,,,,,,,,,,,,,,
GCON07RBAR,50226,50226,0,,,,,,,,,,,,,,,,,,
GCON08DMUS,170816,170816,0,,,,,,,,,,,,,,,,,,
GCON08RLES,251633,251633,0,,,,,,,,,,,,,,,,,,
GCON09DSTA,217094,217094,0,,,,,,,,,,,,,,,,,,
GCON09RGIL,135180,135180,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SLDL,,,0,,,,,,,,,,,,,,,,,,
GSL01DSTA,47204,47204,0,,,,,,,,,,,,,,,,,,
GSL01RBUR,92058,92058,0,,,,,,,,,,,,,,,,,,
GSL01RNGU,86405,86405,0,,,,,,,,,,,,,,,,,,
GSL02DDAL,44296,44296,0,,,,,,,,,,,,,,,,,,
GSL02DHER,46467,46467,0,,,,,,,,,,,,,,,,,,
GSL02RMCE,33956,33956,0,,,,,,,,,,,,,,,,,,
GSL03DCAN,48505,48505,0,,,,,,,,,,,,,,,,,,
GSL03DHER,49009,49009,0,,,,,,,,,,,,,,,,,,
GSL04DFER,40797,40797,0,,,,,,,,,,,,,,,,,,
GSL04DPET,29342,29342,0,,,,,,,,,,,,,,,,,,
GSL04RJOH,32318,32318,0,,,,,,,,,,,,,,,,,,
GSL05RBIA,60875,60875,0,,,,,,,,,,,,,,,,,,
GSL05RCOB,71279,71279,0,,,,,,,,,,,,,,,,,,
GSL06DEVA,51986,51986,0,,,,,,,,,,,,,,,,,,
GSL06IBAB,39900,39900,0,,,,,,,,,,,,,,,,,,
GSL06RBAR,54041,54041,0,,,,,,,,,,,,,,,,,,
GSL06RBLA,59325,59325,0,,,,,,,,,,,,,,,,,,
